TIME,AMOUNT,ETH_BALANCE
2024-09-06 00:00:00.000,-70.267641188,3815.651188486
2024-09-07 00:00:00.000,-163.094596242,3652.556592244
2024-09-08 00:00:00.000,3212.247280197,6864.803872441
2024-09-09 00:00:00.000,2295.388909834,9160.192782276
2024-09-10 00:00:00.000,18338.155075756,27498.347858032
2024-09-11 00:00:00.000,-24205.044129133,3293.303728899
2024-09-12 00:00:00.000,-671.75203222,2621.551696679
2024-09-13 00:00:00.000,-501.682102148,2119.869594531
2024-09-14 00:00:00.000,1746.113316473,3865.982911004
2024-09-15 00:00:00.000,-2211.198021418,1654.784889586
2024-09-16 00:00:00.000,1005.437975715,2660.222865301
2024-09-17 00:00:00.000,153.555876101,2813.778741402
2024-09-18 00:00:00.000,23018.637307193,25832.416048595
2024-09-19 00:00:00.000,-14480.272734134,11352.143314461
2024-09-20 00:00:00.000,-7778.001741089,3574.141573372
2024-09-21 00:00:00.000,-612.853995663,2961.287577709
2024-09-22 00:00:00.000,2703.242509742,5664.530087451
2024-09-23 00:00:00.000,14025.773758599,19690.30384605
2024-09-24 00:00:00.000,-16446.76002223,3243.54382382
2024-09-25 00:00:00.000,-301.46016238,2942.08366144
2024-09-26 00:00:00.000,18500.22353806,21442.3071995
2024-09-27 00:00:00.000,-12648.831476342,8793.475723158
2024-09-28 00:00:00.000,486.074842162,9279.55056532
2024-09-29 00:00:00.000,-7167.238374881,2112.312190439
2024-09-30 00:00:00.000,4118.16376275,6230.475953189
2024-10-01 00:00:00.000,5178.484273643,11408.960226832
2024-10-02 00:00:00.000,-5443.686511525,5965.273715306
2024-10-03 00:00:00.000,-2919.854674621,3045.419040685
2024-10-04 00:00:00.000,448.623092722,3494.042133407
2024-10-05 00:00:00.000,629.245993403,4123.28812681
﻿
