TIME,AMOUNT,ETH_BALANCE
2024-07-01 00:00:00.000,-1837.244726395,10758.19769219
2024-07-02 00:00:00.000,3720.440464843,14478.638157033
2024-07-03 00:00:00.000,19961.69560277,34440.333759803
2024-07-04 00:00:00.000,-31219.553646646,3220.780113157
2024-07-05 00:00:00.000,3604.445128106,6825.225241263
2024-07-06 00:00:00.000,8208.98302418,15034.208265443
2024-07-07 00:00:00.000,8259.713639286,23293.921904729
2024-07-08 00:00:00.000,-12995.33536317,10298.586541559
2024-07-09 00:00:00.000,1778.255493332,12076.842034891
2024-07-10 00:00:00.000,6089.116744775,18165.958779666
2024-07-11 00:00:00.000,5966.96055516,24132.919334826
2024-07-12 00:00:00.000,-14939.975879607,9192.943455218
2024-07-13 00:00:00.000,-1569.40656924,7623.536885979
2024-07-14 00:00:00.000,-1702.871310767,5920.665575212
2024-07-15 00:00:00.000,18792.180643616,24712.846218828
2024-07-16 00:00:00.000,-19948.197366228,4764.6488526
2024-07-17 00:00:00.000,1601.006956907,6365.655809507
2024-07-18 00:00:00.000,1685.352431207,8051.008240714
2024-07-19 00:00:00.000,-4194.566340004,3856.44190071
2024-07-20 00:00:00.000,70.620981835,3927.062882545
2024-07-21 00:00:00.000,-335.902641196,3591.160241349
2024-07-22 00:00:00.000,373.198058028,3964.358299377
2024-07-23 00:00:00.000,-22.323673342,3942.034626035
2024-07-24 00:00:00.000,1873.076969714,5815.111595749
2024-07-25 00:00:00.000,1264.682469199,7079.794064948
2024-07-26 00:00:00.000,-3739.511154367,3340.28291058
2024-07-27 00:00:00.000,3487.614727765,6827.897638345
2024-07-28 00:00:00.000,-3502.732715207,3325.164923139
2024-07-29 00:00:00.000,32415.90282148,35741.067744618
2024-07-30 00:00:00.000,-25826.023236694,9915.044507924
2024-07-31 00:00:00.000,2455.847640667,12370.892148591
﻿
