TIME,AMOUNT,ETH_BALANCE
2024-11-05 00:00:00.000,-799.767875934,5132.009803957
2024-11-06 00:00:00.000,3005.792973295,8137.802777252
2024-11-07 00:00:00.000,2885.010072414,11022.812849666
2024-11-08 00:00:00.000,10109.397674932,21132.210524598
2024-11-09 00:00:00.000,-15119.852484309,6012.358040289
2024-11-10 00:00:00.000,-2300.715343428,3711.642696861
2024-11-11 00:00:00.000,10629.310209366,14340.952906227
2024-11-12 00:00:00.000,-12866.574225742,1474.378680485
2024-11-13 00:00:00.000,3917.068463004,5391.447143489
2024-11-14 00:00:00.000,351.105427272,5742.552570761
2024-11-15 00:00:00.000,-3342.031181725,2400.521389036
2024-11-16 00:00:00.000,9995.005102307,12395.526491343
2024-11-17 00:00:00.000,-2314.015354842,10081.511136501
2024-11-18 00:00:00.000,17.857366443,10099.368502944
2024-11-19 00:00:00.000,-2758.112997955,7341.255504989
2024-11-20 00:00:00.000,-708.798222851,6632.457282138
2024-11-21 00:00:00.000,7889.736748934,14522.194031071
2024-11-22 00:00:00.000,16768.428297198,31290.622328269
﻿
