TIME,AMOUNT,ETH_BALANCE
2024-11-22 00:00:00.000,-23.996660856,14498.197370215
2024-11-23 00:00:00.000,4442.538919393,18940.736289608
2024-11-24 00:00:00.000,-14278.719187576,4662.017102032
2024-11-25 00:00:00.000,5216.232724765,9878.249826797
2024-11-26 00:00:00.000,-6334.847815268,3543.402011529
2024-11-27 00:00:00.000,1721.491816224,5264.893827753
2024-11-28 00:00:00.000,1843.779232949,7108.673060702
2024-11-29 00:00:00.000,-303.127308575,6805.545752127
2024-11-30 00:00:00.000,14655.999598104,21461.545350231
2024-12-01 00:00:00.000,-8052.143556398,13409.401793833
2024-12-02 00:00:00.000,-8800.342145131,4609.059648702
2024-12-03 00:00:00.000,8423.16123753,13032.220886232
2024-12-04 00:00:00.000,4170.448196255,17202.669082487
2024-12-05 00:00:00.000,1145.254975384,18347.924057871
﻿
