TIME,AMOUNT,ETH_BALANCE
2024-10-05 00:00:00.000,408.25242518,3902.327098751
2024-10-06 00:00:00.000,19769.575001613,23671.902100364
2024-10-07 00:00:00.000,-7482.62152743,16189.280572934
2024-10-08 00:00:00.000,-5269.742482226,10919.538090709
2024-10-09 00:00:00.000,-5945.758322145,4973.779768563
2024-10-10 00:00:00.000,9619.429296549,14593.209065113
2024-10-11 00:00:00.000,-10178.21942717,4414.989637943
2024-10-12 00:00:00.000,-716.182045626,3698.807592317
2024-10-13 00:00:00.000,7008.910082441,10707.717674757
2024-10-14 00:00:00.000,4191.938839903,14899.65651466
2024-10-15 00:00:00.000,-9479.262246967,5420.394267694
2024-10-16 00:00:00.000,19216.83518946,24637.229457154
2024-10-17 00:00:00.000,-15264.655473881,9372.573983273
2024-10-18 00:00:00.000,6302.216915628,15674.790898901
2024-10-19 00:00:00.000,-12864.079426841,2810.71147206
2024-10-20 00:00:00.000,10940.52696986,13751.23844192
2024-10-21 00:00:00.000,1193.677353193,14944.915795114
2024-10-22 00:00:00.000,-11359.416239653,3585.49955546
﻿
