time,amount,eth_balance
2024-10-05 00:00:00.000 UTC,408.2524251803279,3436.1885513140733
2024-10-06 00:00:00.000 UTC,19769.575001612873,23205.763552926946
2024-10-07 00:00:00.000 UTC,-7482.621527430165,15723.142025496782
2024-10-08 00:00:00.000 UTC,-5269.742482225585,10453.399543271196
2024-10-09 00:00:00.000 UTC,-5945.758422145183,4507.641121126013
2024-10-10 00:00:00.000 UTC,9619.429296549357,14127.07041767537
2024-10-11 00:00:00.000 UTC,-10178.21942717008,3948.8509905052906
2024-10-12 00:00:00.000 UTC,-716.1820456260575,3232.668944879233
2024-10-13 00:00:00.000 UTC,6976.8235385977005,10209.492483476934
2024-10-14 00:00:00.000 UTC,4191.938839903112,14401.431323380046
2024-10-15 00:00:00.000 UTC,-9479.262246966724,4922.169076413322
2024-10-16 00:00:00.000 UTC,19216.835189460187,24139.00426587351
2024-10-17 00:00:00.000 UTC,-15264.655473880859,8874.348791992652
2024-10-18 00:00:00.000 UTC,6302.216915628302,15176.565707620954
2024-10-19 00:00:00.000 UTC,-12864.079426840806,2312.4862807801474
2024-10-20 00:00:00.000 UTC,10940.487340104357,13252.973620884504
2024-10-21 00:00:00.000 UTC,1193.676853193443,14446.650474077947
2024-10-22 00:00:00.000 UTC,-11352.889387142,3093.761086935947
