TIME,AMOUNT,ETH_BALANCE
2024-08-01 00:00:00.000,1853.305625589,6384.981042571
2024-08-02 00:00:00.000,17686.334432289,24071.31547486
2024-08-03 00:00:00.000,-16122.516097508,7948.799377352
2024-08-04 00:00:00.000,-1370.820698255,6577.978679097
2024-08-05 00:00:00.000,3976.771026976,10554.749706073
2024-08-06 00:00:00.000,-6075.795982438,4478.953723634
2024-08-07 00:00:00.000,19103.462453176,23582.416176811
2024-08-08 00:00:00.000,670.341711426,24252.757888237
2024-08-09 00:00:00.000,-20368.973786318,3883.784101919
2024-08-10 00:00:00.000,4193.78645718,8077.570559099
2024-08-11 00:00:00.000,9745.023505791,17822.59406489
2024-08-12 00:00:00.000,3617.185161843,21439.779226733
2024-08-13 00:00:00.000,-5661.247581971,15778.531644763
2024-08-14 00:00:00.000,-4673.167594495,11105.364050267
2024-08-15 00:00:00.000,-4250.274307803,6855.089742464
2024-08-16 00:00:00.000,4048.05786506,10903.147607524
2024-08-17 00:00:00.000,-8696.475722585,2206.67188494
2024-08-18 00:00:00.000,2221.203932505,4427.875817444
2024-08-19 00:00:00.000,-2261.058732336,2166.817085109
2024-08-20 00:00:00.000,5370.946012179,7537.763097287
2024-08-21 00:00:00.000,3834.534359383,11372.29745667
2024-08-22 00:00:00.000,-1141.182710064,10231.114746606
2024-08-23 00:00:00.000,-6302.353446546,3928.76130006
2024-08-24 00:00:00.000,-1483.673383851,2445.087916208
2024-08-25 00:00:00.000,10276.37346339,12721.461379598
2024-08-26 00:00:00.000,-5529.088513833,7192.372865765
2024-08-27 00:00:00.000,4297.619391331,11489.992257096
2024-08-28 00:00:00.000,-510.924248095,10979.068009
2024-08-29 00:00:00.000,-629.650277235,10349.417731766
2024-08-30 00:00:00.000,6306.209894977,16655.627626743
2024-08-31 00:00:00.000,-6416.735218727,10238.892408016
2024-09-01 00:00:00.000,-5830.52421055,4408.368197466
2024-09-02 00:00:00.000,275.065952443,4683.434149909
2024-09-03 00:00:00.000,693.073410661,5376.507560569
2024-09-04 00:00:00.000,2867.627929856,8244.135490425
2024-09-05 00:00:00.000,-3209.16204259,5034.973447835
2024-09-06 00:00:00.000,756.888379323,5791.861827158
﻿
